<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170104,164500,175.6900000,175.7500000,175.3200000,175.6100000,343840
20170104,170000,175.5500000,175.7900000,175.3300000,175.5000000,353480
20170104,171500,175.5400000,175.6800000,175.3700000,175.4300000,268980
20170104,173000,175.5600000,176.1500000,175.4500000,175.7400000,1695860
20170104,174500,175.7500000,176.3700000,175.7500000,176.2400000,1460750
20170104,180000,176.2500000,176.6200000,176.0700000,176.1600000,1602140
20170104,181500,176.1200000,176.1700000,175.5100000,175.6500000,1584480
20170104,183000,175.6300000,175.7500000,175.3300000,175.4900000,1735440
20170104,184500,175.9500000,175.9500000,175.9500000,175.9500000,869730
20170105,100000,176.3200000,177.0000000,175.7800000,175.9600000,1527170
20170105,101500,175.9700000,176.9600000,175.7000000,176.6000000,1032910
20170105,103000,176.6600000,177.2800000,176.5600000,176.8700000,1488920
20170105,104500,176.8500000,176.9500000,176.3500000,176.4000000,452670
20170105,110000,176.3500000,176.5500000,175.5000000,175.7800000,1909700
20170105,111500,175.8000000,176.2500000,175.5600000,175.9800000,838820
20170105,113000,175.9700000,176.1600000,175.7200000,175.8600000,333350
20170105,114500,175.9200000,176.2900000,175.7700000,175.9600000,326240
20170105,120000,176.0000000,176.1500000,175.1200000,175.3700000,1188410
20170105,121500,175.3000000,175.7500000,175.1200000,175.2700000,591340
20170105,123000,175.3000000,175.4000000,174.9600000,175.2100000,973440
20170105,124500,175.1300000,175.6900000,175.1100000,175.6700000,641090
20170105,130000,175.6400000,175.8400000,175.2400000,175.7200000,694730
20170105,131500,175.6900000,175.7100000,175.1800000,175.2900000,199290
20170105,133000,175.2900000,175.4200000,175.1800000,175.3500000,253560
20170105,134500,175.3200000,175.3400000,174.5300000,175.0400000,1001740
20170105,140000,175.0100000,175.1000000,174.6100000,174.6900000,623420
20170105,141500,174.7300000,174.7300000,173.8300000,174.4400000,1905030
20170105,143000,174.4200000,174.4200000,173.8600000,174.0300000,870330
20170105,144500,174.0200000,174.3300000,173.7100000,174.3100000,1287210
20170105,150000,174.2700000,174.3800000,173.6800000,173.9000000,660840
20170105,151500,173.8700000,174.1000000,173.7100000,174.0500000,335120
20170105,153000,174.1000000,174.2200000,173.9000000,174.1600000,414720
20170105,154500,174.1400000,174.3500000,173.9100000,173.9600000,881760
20170105,160000,173.9700000,174.1700000,173.3000000,173.5000000,1134500
20170105,161500,173.4200000,173.6000000,173.1200000,173.5600000,891670
20170105,163000,173.5600000,173.6800000,173.0000000,173.6100000,807670
20170105,164500,173.6600000,173.6600000,173.0000000,173.0900000,730310
20170105,170000,173.0700000,173.2400000,172.2500000,172.4800000,1605400
20170105,171500,172.3500000,172.4200000,171.6200000,172.1600000,1509830
20170105,173000,172.1100000,172.3400000,171.6600000,172.2800000,911800
20170105,174500,172.2900000,172.6500000,171.7200000,171.8600000,1447480
20170105,180000,171.8600000,172.1000000,171.5400000,171.7600000,1235070
20170105,181500,171.7500000,172.0400000,171.6000000,172.0200000,1150320
20170105,183000,171.9500000,172.0500000,171.5600000,171.8000000,2177600
20170105,184500,171.9000000,171.9000000,171.9000000,171.9000000,1043440
20170106,100000,172.4100000,172.9700000,171.8000000,172.6000000,1744480
20170106,101500,172.6900000,173.0600000,172.0500000,172.5900000,882150
20170106,103000,172.5500000,172.9000000,172.4700000,172.7300000,689430
20170106,104500,172.6600000,172.8100000,172.4000000,172.7200000,632720
20170106,110000,172.7300000,173.7500000,171.5900000,171.8200000,2966080
20170106,111500,171.8200000,171.9900000,171.3700000,171.5700000,1194740
20170106,113000,171.5600000,171.8300000,170.7500000,170.7800000,1727980
20170106,114500,170.7700000,171.0500000,170.5700000,170.5800000,1076010
20170106,120000,170.5700000,171.3900000,170.5700000,171.3700000,822560
20170106,121500,171.3700000,171.9700000,171.1200000,171.6000000,1207690
20170106,123000,171.6100000,171.6300000,171.0200000,171.2000000,773770
20170106,124500,171.2000000,171.5400000,171.0300000,171.1000000,396540
20170106,130000,171.1000000,171.1300000,170.1700000,170.4000000,1620600
20170106,131500,170.3600000,170.6000000,169.8200000,169.8600000,2289930
20170106,133000,169.8600000,170.4600000,169.5000000,170.1700000,1244360
20170106,134500,170.1800000,170.6900000,169.9100000,170.5900000,1291330
20170106,140000,170.5900000,170.6000000,169.5100000,169.8000000,910480
20170106,141500,169.8100000,170.4700000,169.7400000,170.4400000,620470
20170106,143000,170.4300000,170.7900000,170.1000000,170.5500000,649940
20170106,144500,170.5100000,170.5800000,170.1900000,170.3400000,314110
20170106,150000,170.3000000,170.6100000,170.0600000,170.5900000,304380
20170106,151500,170.5800000,171.0500000,170.3500000,170.7000000,778060
20170106,153000,170.7300000,171.4500000,170.7300000,171.0100000,838880
20170106,154500,171.0400000,171.3600000,170.8800000,171.2500000,430040
20170106,160000,171.2600000,171.8700000,171.1200000,171.5200000,1372580
20170106,161500,171.5200000,171.7000000,171.2500000,171.4800000,232280
20170106,163000,171.4700000,171.7800000,170.6100000,170.7300000,891780
20170106,164500,170.8100000,171.2700000,170.7600000,170.9900000,529520
20170106,170000,171.0300000,171.4900000,170.8000000,171.4000000,277110
20170106,171500,171.3700000,171.5000000,171.1200000,171.2600000,212790
20170106,173000,171.2400000,171.4000000,170.8500000,171.0600000,529570
20170106,174500,171.0700000,172.0000000,171.0000000,171.9900000,1442180
20170106,180000,171.9900000,172.1800000,171.5200000,171.5200000,1380360
20170106,181500,171.5200000,171.6200000,170.5000000,170.9300000,1530130
20170106,183000,170.9300000,171.0900000,170.3300000,170.7100000,1229760
20170106,184500,170.6900000,170.6900000,170.6900000,170.6900000,361150
20170109,100000,171.3700000,172.3900000,171.2200000,171.7700000,2261670
20170109,101500,171.7600000,172.2000000,171.7100000,171.9500000,873980
20170109,103000,171.9900000,172.2000000,171.3000000,171.3600000,878900
20170109,104500,171.3600000,171.3900000,170.3800000,171.1000000,1405290
20170109,110000,171.1000000,171.7500000,170.6900000,171.0000000,1110380
20170109,111500,171.1000000,171.7600000,170.8400000,171.4900000,555470
20170109,113000,171.4400000,171.6500000,171.0000000,171.1800000,545610
20170109,114500,171.1500000,171.4200000,170.8500000,171.2400000,502130
20170109,120000,171.2700000,171.4800000,170.8200000,171.0100000,561630
20170109,121500,171.0100000,171.2000000,171.0000000,171.0000000,558530
20170109,123000,171.0000000,171.2000000,170.1300000,170.2100000,1959620
20170109,124500,170.2100000,170.9500000,169.9000000,170.5800000,2167450
20170109,130000,170.5800000,170.5900000,170.2000000,170.4900000,894410
20170109,131500,170.4800000,170.5100000,170.2500000,170.3400000,180950
20170109,133000,170.4000000,170.5800000,170.2500000,170.5600000,173760
20170109,134500,170.5100000,170.5800000,170.2600000,170.5200000,352460
20170109,140000,170.4600000,170.5500000,170.3300000,170.4300000,249650
20170109,141500,170.4500000,170.4500000,170.3000000,170.3500000,152540
20170109,143000,170.4000000,170.4000000,170.1500000,170.3000000,297990
20170109,144500,170.2500000,170.4100000,170.1500000,170.1700000,195990
20170109,150000,170.1600000,170.1600000,169.1000000,169.5500000,2636160
20170109,151500,169.5500000,169.9000000,169.3300000,169.7400000,958670
20170109,153000,169.7200000,169.8500000,169.4200000,169.5000000,307960
20170109,154500,169.5400000,169.7300000,169.4800000,169.5800000,338600
20170109,160000,169.6000000,169.6200000,169.4100000,169.5400000,401980
20170109,161500,169.5100000,169.7900000,169.0100000,169.2000000,1143230
20170109,163000,169.2200000,169.7700000,169.0000000,169.0000000,2056850
20170109,164500,169.0000000,169.1000000,168.6900000,168.8500000,1185690
20170109,170000,168.8500000,169.0000000,168.5000000,168.5500000,2330980
20170109,171500,168.5500000,168.9200000,168.4000000,168.4500000,1400810
20170109,173000,168.4500000,169.1200000,168.4300000,168.8000000,1584730
20170109,174500,168.7700000,168.9600000,168.1900000,168.2100000,1347720
20170109,180000,168.2100000,168.6000000,168.1400000,168.5900000,797440
20170109,181500,168.6000000,168.6500000,168.3800000,168.5000000,555760
20170109,183000,168.5000000,168.5900000,168.0500000,168.0800000,1967330
20170109,184500,168.3500000,168.3500000,168.3500000,168.3500000,274120
20170110,100000,168.3700000,168.7400000,167.5400000,168.4000000,2174680
20170110,101500,168.3900000,169.4800000,168.2800000,169.3100000,1744180
20170110,103000,169.2700000,169.9500000,169.0700000,169.7000000,2197420
20170110,104500,169.7600000,170.5900000,169.7000000,170.5200000,2908230
20170110,110000,170.5900000,171.0400000,170.2900000,170.8600000,4473790
20170110,111500,170.8900000,171.2000000,170.8000000,171.0300000,2123240
20170110,113000,171.0400000,171.4000000,171.0000000,171.0600000,2005770
20170110,114500,171.0600000,171.3500000,170.8000000,171.0800000,2047960
20170110,120000,171.1400000,171.2000000,170.8200000,171.1700000,888890
20170110,121500,171.1500000,171.2000000,170.9000000,170.9300000,565910
20170110,123000,170.9500000,171.1300000,170.8000000,170.9000000,739250
20170110,124500,170.8900000,171.3000000,170.8000000,170.9200000,1730290
20170110,130000,170.9100000,171.2000000,170.8500000,171.1600000,717330
20170110,131500,171.1600000,171.2000000,170.9200000,171.0000000,1006830
20170110,133000,171.0000000,171.2000000,170.9700000,171.1000000,760800
20170110,134500,171.1000000,171.8500000,170.8000000,170.8500000,3831550
20170110,140000,170.8500000,171.0500000,170.8000000,170.8600000,804680
20170110,141500,170.8800000,171.0900000,170.4500000,170.7200000,1169890
20170110,143000,170.7600000,171.0400000,170.7500000,170.8500000,291030
20170110,144500,170.8900000,171.2000000,170.8900000,171.1800000,716760
20170110,150000,171.1400000,171.2000000,170.8000000,170.8700000,826000
20170110,151500,170.8100000,171.0700000,170.6700000,170.8500000,414650
20170110,153000,170.8900000,171.1700000,170.7800000,171.1000000,278580
20170110,154500,171.1200000,172.1800000,171.1200000,172.0000000,4318230
20170110,160000,172.0600000,172.2000000,171.6000000,171.7400000,1979180
20170110,161500,171.7400000,172.1100000,171.6500000,172.1000000,3743560
20170110,163000,172.1000000,172.1000000,171.7400000,171.8600000,1841360
20170110,164500,171.8800000,172.0000000,171.8500000,171.9600000,2864550
20170110,170000,171.9600000,172.0000000,171.9500000,171.9700000,2155040
20170110,171500,171.9600000,172.0000000,171.7100000,171.8700000,684770
20170110,173000,171.8700000,172.3000000,171.7300000,171.7800000,2364890
20170110,174500,171.7800000,172.0000000,171.7000000,171.9000000,820460
20170110,180000,171.9200000,172.0000000,171.3600000,171.6100000,1045010
20170110,181500,171.6700000,171.7500000,170.9000000,171.2400000,1235310
20170110,183000,171.1900000,171.5600000,171.1900000,171.2300000,670200
20170110,184500,171.6000000,171.6000000,171.6000000,171.6000000,694410
20170111,100000,171.5000000,171.5000000,170.2200000,171.1000000,2013680
20170111,101500,171.1000000,171.3900000,171.0000000,171.3000000,688030
20170111,103000,171.3000000,173.0500000,171.2000000,172.9600000,3289020
20170111,104500,172.9600000,173.0500000,172.7000000,172.9800000,1561840
20170111,110000,172.8900000,173.0500000,172.6900000,172.7400000,2162280
20170111,111500,172.7400000,172.8100000,171.6800000,171.9300000,2238570
20170111,113000,171.9300000,172.3400000,171.5000000,171.8900000,1521830
20170111,114500,171.8200000,172.1900000,171.7200000,171.8600000,850740
20170111,120000,171.8600000,172.1500000,171.8000000,172.1000000,735510
20170111,121500,172.1000000,172.5800000,171.9700000,172.5700000,1137610
20170111,123000,172.5700000,172.6000000,172.4200000,172.4900000,1018860
20170111,124500,172.4500000,172.4900000,172.3100000,172.4200000,371200
20170111,130000,172.3500000,172.7500000,172.2700000,172.7100000,1441120
20170111,131500,172.7100000,172.7500000,172.0000000,172.1900000,1640090
20170111,133000,172.1900000,172.4100000,172.0000000,172.2600000,439100
20170111,134500,172.2500000,172.7300000,172.2100000,172.6300000,419400
20170111,140000,172.6200000,172.6400000,172.1900000,172.2100000,441040
20170111,141500,172.2200000,172.4200000,172.1700000,172.1700000,300370
20170111,143000,172.1700000,172.3000000,172.0000000,172.0700000,458870
20170111,144500,172.0400000,172.0700000,171.2500000,171.4300000,1558920
20170111,150000,171.3700000,171.4100000,170.6500000,170.6600000,2193170
20170111,151500,170.6700000,170.7000000,169.1700000,169.5700000,5026490
20170111,153000,169.5300000,169.6300000,169.2100000,169.3800000,1876530
20170111,154500,169.4100000,169.7700000,169.0200000,169.1600000,1491640
20170111,160000,169.1600000,169.7600000,168.9900000,169.6500000,1725980
20170111,161500,169.6700000,169.7200000,168.7200000,168.9900000,2254370
20170111,163000,168.9600000,169.2200000,168.8000000,168.9300000,636280
20170111,164500,168.9400000,169.1500000,168.9000000,169.1000000,1063500
20170111,170000,169.1300000,169.7500000,169.1000000,169.5300000,1884490
20170111,171500,169.5100000,169.8000000,169.2700000,169.3500000,653510
20170111,173000,169.3500000,169.5700000,169.2800000,169.4600000,313700
20170111,174500,169.4600000,169.7000000,169.4000000,169.6200000,1578180
20170111,180000,169.5800000,170.2700000,169.2900000,169.8000000,2644240
20170111,181500,169.7900000,169.8800000,169.5000000,169.5900000,1354790
20170111,183000,169.6000000,169.6600000,168.5400000,168.7400000,3188120
20170111,184500,169.0500000,169.0500000,169.0500000,169.0500000,563150
20170112,100000,170.0000000,170.6500000,169.9700000,170.4100000,2908120
20170112,101500,170.4900000,170.5900000,169.9200000,170.3800000,1183400
20170112,103000,170.3800000,170.4400000,169.9600000,169.9700000,770120
20170112,104500,169.9900000,170.0000000,169.6700000,169.8900000,631440
20170112,110000,169.8900000,170.0000000,169.1700000,169.6400000,2533920
20170112,111500,169.5600000,169.6600000,169.1800000,169.2200000,1563280
20170112,113000,169.2800000,170.4500000,169.2700000,170.2600000,2296430
20170112,114500,170.2000000,170.3100000,169.3100000,169.4900000,2332270
20170112,120000,169.5000000,170.2700000,169.3600000,169.4100000,2246150
20170112,121500,169.4300000,169.6800000,169.0000000,169.3300000,2194120
20170112,123000,169.2800000,169.4000000,168.9000000,169.3900000,953340
20170112,124500,169.3400000,169.5000000,169.1700000,169.4900000,857190
20170112,130000,169.4600000,169.5000000,169.2200000,169.3700000,547230
20170112,131500,169.3700000,169.7200000,169.2000000,169.6200000,847060
20170112,133000,169.5900000,170.1300000,169.5900000,169.9800000,2519600
20170112,134500,170.0000000,170.0000000,169.7000000,169.7700000,1175230
20170112,140000,169.7700000,170.0200000,169.5300000,169.9300000,882240
20170112,141500,169.9300000,170.0600000,169.6200000,170.0400000,800660
20170112,143000,170.0400000,170.0500000,169.5000000,169.5300000,408860
20170112,144500,169.5400000,169.7100000,169.5000000,169.6000000,450510
20170112,150000,169.6100000,169.8800000,169.3500000,169.3500000,741600
20170112,151500,169.3800000,169.5400000,169.2400000,169.4900000,709370
20170112,153000,169.4500000,169.8400000,169.4000000,169.7000000,990160
20170112,154500,169.6600000,169.9400000,169.4400000,169.6300000,1196630
20170112,160000,169.6300000,169.8400000,169.5000000,169.7100000,561120
20170112,161500,169.6400000,169.7600000,169.3000000,169.4300000,1021580
20170112,163000,169.3600000,169.5800000,168.8700000,168.9000000,1796290
20170112,164500,168.9100000,169.0000000,168.5600000,168.9100000,1234930
20170112,170000,168.9700000,169.1300000,168.1500000,168.2600000,2217100
20170112,171500,168.3000000,168.4900000,168.0200000,168.4300000,1391940
20170112,173000,168.4400000,168.8500000,168.4000000,168.6900000,977120
20170112,174500,168.7200000,168.9900000,168.6400000,168.8800000,1998630
20170112,180000,168.9200000,169.0000000,168.5500000,168.8200000,930690
20170112,181500,168.8200000,168.9000000,168.3800000,168.3900000,1369880
20170112,183000,168.4400000,168.7500000,168.0300000,168.2700000,3360190
20170112,184500,168.2700000,168.2700000,168.2700000,168.2700000,1206560
20170113,100000,168.8000000,172.3900000,168.6000000,169.4900000,6234530
20170113,101500,169.4900000,169.8000000,169.1300000,169.5800000,1937230
20170113,103000,169.5900000,170.3300000,169.5800000,169.9000000,4488380
20170113,104500,169.9000000,169.9500000,169.4300000,169.7500000,1169050
20170113,110000,169.7200000,169.7900000,168.1400000,168.6100000,4431630
20170113,111500,168.5900000,168.8000000,167.7500000,168.2500000,3048170
20170113,113000,168.2000000,168.3400000,167.1000000,167.2400000,3772080
20170113,114500,167.1900000,167.3700000,166.1400000,166.4600000,4781440
20170113,120000,166.4900000,166.5500000,165.3000000,165.3600000,3350470
20170113,121500,165.3600000,166.4400000,165.3000000,166.2500000,2028170
20170113,123000,166.3100000,166.6000000,165.7500000,166.0200000,1397990
20170113,124500,166.0200000,166.5500000,165.8300000,166.0100000,1120560
